Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
C,Nic Claxton (27190444),Nic Claxton,27190444,C/UTIL,6600,BKN@MIA 03/25/2023 08:00PM ET,BKN,33.19,L,33.19
PF,Kelly Olynyk (27190446),Kelly Olynyk,27190446,PF/F/UTIL,6500,UTA@SAC 03/25/2023 10:00PM ET,UTA,27.29,L,30.019
SG/SF,Trey Murphy III (27190449),Trey Murphy III,27190449,SG/SF/F/G/UTIL,6400,NOP@LAC 03/25/2023 10:30PM ET,NOP,24.15,L,24.15
SF/PF,Cameron Johnson (27190454),Cameron Johnson,27190454,SF/PF/F/UTIL,6300,BKN@MIA 03/25/2023 08:00PM ET,BKN,26.63,L,26.63
SF,Michael Porter Jr. (27190458),Michael Porter Jr.,27190458,SF/F/UTIL,6200,MIL@DEN 03/25/2023 09:00PM ET,DEN,28.99,L,28.99
SF/PF,Tobias Harris (27190461),Tobias Harris,27190461,SF/PF/F/UTIL,6100,PHI@PHX 03/25/2023 10:00PM ET,PHI,29.58,L,29.58
PF,Aaron Gordon (27190465),Aaron Gordon,27190465,PF/F/UTIL,6000,MIL@DEN 03/25/2023 09:00PM ET,DEN,32.02,L,32.02
C,Ivica Zubac (27190468),Ivica Zubac,27190468,C/UTIL,5900,NOP@LAC 03/25/2023 10:30PM ET,LAC,27.75,L,27.75
SG/SF,De'Anthony Melton (27190470),De'Anthony Melton,27190470,SG/SF/F/G/UTIL,5800,PHI@PHX 03/25/2023 10:00PM ET,PHI,24.6,L,24.6
PF/C,Bobby Portis (27190475),Bobby Portis,27190475,PF/C/F/UTIL,5700,MIL@DEN 03/25/2023 09:00PM ET,MIL,30.14,L,30.14
PG,Kris Dunn (27190479),Kris Dunn,27190479,PG/G/UTIL,5600,UTA@SAC 03/25/2023 10:00PM ET,UTA,27.6,L,30.36
PF,Herbert Jones (27190487),Herbert Jones,27190487,PF/F/UTIL,5500,NOP@LAC 03/25/2023 10:30PM ET,NOP,22.2,L,22.2
SG/SF,Ochai Agbaji (27190482),Ochai Agbaji,27190482,SG/SF/F/G/UTIL,5500,UTA@SAC 03/25/2023 10:00PM ET,UTA,11.4,L,11.4
SG/SF,Kevin Huerter (27190490),Kevin Huerter,27190490,SG/SF/F/G/UTIL,5400,UTA@SAC 03/25/2023 10:00PM ET,SAC,27.2,L,43.52
SF,Josh Okogie (27190495),Josh Okogie,27190495,SF/F/UTIL,5300,PHI@PHX 03/25/2023 10:00PM ET,PHX,15.87,L,15.87
SG/SF,Eric Gordon (27190498),Eric Gordon,27190498,SG/SF/F/G/UTIL,5200,NOP@LAC 03/25/2023 10:30PM ET,LAC,21.23,L,21.23
PG/SG,Terance Mann (27190506),Terance Mann,27190506,PG/SG/G/UTIL,5100,NOP@LAC 03/25/2023 10:30PM ET,LAC,18.4,L,18.4
PF,Keegan Murray (27190503),Keegan Murray,27190503,PF/F/UTIL,5100,UTA@SAC 03/25/2023 10:00PM ET,SAC,22.97,L,22.97
SF/PF,Royce O'Neale (27190514),Royce O'Neale,27190514,SF/PF/F/UTIL,5000,BKN@MIA 03/25/2023 08:00PM ET,BKN,24.26,L,24.26
SF/PF,Harrison Barnes (27190510),Harrison Barnes,27190510,SF/PF/F/UTIL,5000,UTA@SAC 03/25/2023 10:00PM ET,SAC,25.1,L,25.1
C,Ben Simmons (27190518),Ben Simmons,27190518,C/UTIL,4900,BKN@MIA 03/25/2023 08:00PM ET,BKN,26.64,O,26.64
SG,Malik Monk (27190520),Malik Monk,27190520,SG/G/UTIL,4800,UTA@SAC 03/25/2023 10:00PM ET,SAC,24.41,L,29.292
PG,Collin Sexton (27190523),Collin Sexton,27190523,PG/G/UTIL,4800,UTA@SAC 03/25/2023 10:00PM ET,UTA,22.38,O,22.38
C,Mason Plumlee (27190526),Mason Plumlee,27190526,C/UTIL,4700,NOP@LAC 03/25/2023 10:30PM ET,LAC,29.98,L,32.978
SG,Kentavious Caldwell-Pope (27190540),Kentavious Caldwell-Pope,27190540,SG/G/UTIL,4600,MIL@DEN 03/25/2023 09:00PM ET,DEN,22.28,L,22.28
PF,Marcus Morris Sr. (27190528),Marcus Morris Sr.,27190528,PF/F/UTIL,4600,NOP@LAC 03/25/2023 10:30PM ET,LAC,21.44,L,21.44
PG,Bones Hyland (27190543),Bones Hyland,27190543,PG/G/UTIL,4600,NOP@LAC 03/25/2023 10:30PM ET,LAC,21.08,L,23.188
SF/PF,Simone Fontecchio (27190531),Simone Fontecchio,27190531,SF/PF/F/UTIL,4600,UTA@SAC 03/25/2023 10:00PM ET,UTA,9.68,L,17.424
SG/SF,Norman Powell (27190549),Norman Powell,27190549,SG/SF/F/G/UTIL,4500,NOP@LAC 03/25/2023 10:30PM ET,LAC,25.32,O,25.32
SG/SF,Joe Ingles (27190535),Joe Ingles,27190535,SG/SF/F/G/UTIL,4500,MIL@DEN 03/25/2023 09:00PM ET,MIL,17.97,L,21.564
C,Montrezl Harrell (27190554),Montrezl Harrell,27190554,C/UTIL,4500,PHI@PHX 03/25/2023 10:00PM ET,PHI,11,L,11
PF,Torrey Craig (27190546),Torrey Craig,27190546,PF/F/UTIL,4500,PHI@PHX 03/25/2023 10:00PM ET,PHX,19.63,L,21.593
