Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints,EWAvgPoints
C,Brook Lopez (27125737),Brook Lopez,27125737,C/UTIL,7700,TOR@MIL 03/19/2023 08:00PM ET,MIL,32.26,L,32.26,15
PG,Kevin Porter Jr. (27125739),Kevin Porter Jr.,27125739,PG/G/UTIL,7500,NOP@HOU 03/19/2023 07:00PM ET,HOU,37.21,L,37.21,15
SF/PF,Scottie Barnes (27125742),Scottie Barnes,27125742,SF/PF/F/UTIL,7400,TOR@MIL 03/19/2023 08:00PM ET,TOR,34.86,L,34.86,15
C,Jakob Poeltl (27125746),Jakob Poeltl,27125746,C/UTIL,7300,TOR@MIL 03/19/2023 08:00PM ET,TOR,32.54,L,32.54,15
SF/PF,Paolo Banchero (27125748),Paolo Banchero,27125748,SF/PF/F/UTIL,7200,ORL@LAL 03/19/2023 09:30PM ET,ORL,35.93,L,46.709,19.5
PG/SG,Jalen Green (27125755),Jalen Green,27125755,PG/SG/G/UTIL,7100,NOP@HOU 03/19/2023 07:00PM ET,HOU,33.9,L,40.68,18
PF,Jerami Grant (27125752),Jerami Grant,27125752,PF/F/UTIL,7100,LAC@POR 03/19/2023 09:00PM ET,POR,33.23,L,33.23,15
PG/SG,Tyler Herro (27125759),Tyler Herro,27125759,PG/SG/G/UTIL,7000,MIA@DET 03/19/2023 06:00PM ET,MIA,36.34,L,39.974,16.5
PG/SG,Jaden Ivey (27125765),Jaden Ivey,27125765,PG/SG/G/UTIL,6900,MIA@DET 03/19/2023 06:00PM ET,DET,29.22,L,29.22,15
C,Alperen Sengun (27125763),Alperen Sengun,27125763,C/UTIL,6900,NOP@HOU 03/19/2023 07:00PM ET,HOU,34.52,L,37.972,16.5
PF/C,Marvin Bagley III (27125772),Marvin Bagley III,27125772,PF/C/F/UTIL,6800,MIA@DET 03/19/2023 06:00PM ET,DET,23.07,L,23.07,15
PG,Russell Westbrook (27125769),Russell Westbrook,27125769,PG/G/UTIL,6800,LAC@POR 03/19/2023 09:00PM ET,LAC,36.65,L,36.65,15
PF/C,Bobby Portis (27125779),Bobby Portis,27125779,PF/C/F/UTIL,6700,TOR@MIL 03/19/2023 08:00PM ET,MIL,30.29,L,30.29,15
PG,Markelle Fultz (27125776),Markelle Fultz,27125776,PG/G/UTIL,6700,ORL@LAL 03/19/2023 09:30PM ET,ORL,30.57,L,39.741,19.5
PG,Killian Hayes (27125783),Killian Hayes,27125783,PG/G/UTIL,6600,MIA@DET 03/19/2023 06:00PM ET,DET,25.23,L,25.23,15
C,Wendell Carter Jr. (27125786),Wendell Carter Jr.,27125786,C/UTIL,6600,ORL@LAL 03/19/2023 09:30PM ET,ORL,32.58,L,35.838,16.5
C,James Wiseman (27125791),James Wiseman,27125791,C/UTIL,6500,MIA@DET 03/19/2023 06:00PM ET,DET,18.54,L,18.54,15
PF,Jabari Smith Jr. (27125788),Jabari Smith Jr.,27125788,PF/F/UTIL,6500,NOP@HOU 03/19/2023 07:00PM ET,HOU,26.5,L,31.8,18
SG,OG Anunoby (27125793),OG Anunoby,27125793,SG/G/UTIL,6400,TOR@MIL 03/19/2023 08:00PM ET,TOR,31.27,L,34.397,16.5
SG/SF,Franz Wagner (27125805),Franz Wagner,27125805,SG/SF/F/G/UTIL,6300,ORL@LAL 03/19/2023 09:30PM ET,ORL,30.77,L,30.77,15
PG/SG,Anfernee Simons (27125796),Anfernee Simons,27125796,PG/SG/G/UTIL,6300,LAC@POR 03/19/2023 09:00PM ET,POR,32.93,L,36.223,16.5
SG/SF,Trey Murphy III (27125800),Trey Murphy III,27125800,SG/SF/F/G/UTIL,6200,NOP@HOU 03/19/2023 07:00PM ET,NOP,24.07,L,24.07,15
C,Jonas Valanciunas (27125810),Jonas Valanciunas,27125810,C/UTIL,6100,NOP@HOU 03/19/2023 07:00PM ET,NOP,30.3,L,30.3,15
SF/PF,Bojan Bogdanovic (27125812),Bojan Bogdanovic,27125812,SF/PF/F/UTIL,5900,MIA@DET 03/19/2023 06:00PM ET,DET,31.67,O,31.67,15
PG/SG,Austin Reaves (27125816),Austin Reaves,27125816,PG/SG/G/UTIL,5800,ORL@LAL 03/19/2023 09:30PM ET,LAL,21.2,L,21.2,15
PF/C,Jarred Vanderbilt (27125827),Jarred Vanderbilt,27125827,PF/C/F/UTIL,5700,ORL@LAL 03/19/2023 09:30PM ET,LAL,24.41,L,24.41,15
C,Jusuf Nurkic (27125820),Jusuf Nurkic,27125820,C/UTIL,5700,LAC@POR 03/19/2023 09:00PM ET,POR,31.67,L,31.67,15
SG/SF,Rodney McGruder (27125822),Rodney McGruder,27125822,SG/SF/F/G/UTIL,5600,MIA@DET 03/19/2023 06:00PM ET,DET,10.49,L,10.49,15
SF/PF,Isaiah Livers (27125831),Isaiah Livers,27125831,SF/PF/F/UTIL,5500,MIA@DET 03/19/2023 06:00PM ET,DET,13.22,L,13.22,15
PG/SG,Cole Anthony (27125835),Cole Anthony,27125835,PG/SG/G/UTIL,5500,ORL@LAL 03/19/2023 09:30PM ET,ORL,26.23,L,28.853,16.5
C,Jalen Duren (27125839),Jalen Duren,27125839,C/UTIL,5400,MIA@DET 03/19/2023 06:00PM ET,DET,24.47,L,24.47,15
PG,Dennis Schroder (27125841),Dennis Schroder,27125841,PG/G/UTIL,5400,ORL@LAL 03/19/2023 09:30PM ET,LAL,24.26,L,26.686,16.5
SF/PF,KJ Martin (27125844),KJ Martin,27125844,SF/PF/F/UTIL,5300,NOP@HOU 03/19/2023 07:00PM ET,HOU,23.39,L,25.729,16.5
C,Ivica Zubac (27125848),Ivica Zubac,27125848,C/UTIL,5300,LAC@POR 03/19/2023 09:00PM ET,LAC,27.88,L,33.456,18
PF/C,Eugene Omoruyi (27125850),Eugene Omoruyi,27125850,PF/C/F/UTIL,5200,MIA@DET 03/19/2023 06:00PM ET,DET,11.44,L,11.44,15
PG,Cory Joseph (27125856),Cory Joseph,27125856,PG/G/UTIL,5100,MIA@DET 03/19/2023 06:00PM ET,DET,14.49,L,14.49,15
C,Trendon Watford (27125854),Trendon Watford,27125854,C/UTIL,5100,LAC@POR 03/19/2023 09:00PM ET,POR,15.04,L,21.056,19.5
PF,Herbert Jones (27125859),Herbert Jones,27125859,PF/F/UTIL,5000,NOP@HOU 03/19/2023 07:00PM ET,NOP,22.53,L,27.036,18
PG/SG,Jalen Suggs (27125862),Jalen Suggs,27125862,PG/SG/G/UTIL,4900,ORL@LAL 03/19/2023 09:30PM ET,ORL,21.36,O,21.36,15
SG/SF,Gary Trent Jr. (27125866),Gary Trent Jr.,27125866,SG/SF/F/G/UTIL,4900,TOR@MIL 03/19/2023 08:00PM ET,TOR,28.02,L,30.822,16.5
PF/C,Isaiah Stewart (27125874),Isaiah Stewart,27125874,PF/C/F/UTIL,4800,MIA@DET 03/19/2023 06:00PM ET,DET,26.06,O,26.06,15
SG,Malik Beasley (27125871),Malik Beasley,27125871,SG/G/UTIL,4800,ORL@LAL 03/19/2023 09:30PM ET,LAL,22.96,L,22.96,15
SG/SF,Joe Ingles (27125883),Joe Ingles,27125883,SG/SF/F/G/UTIL,4700,TOR@MIL 03/19/2023 08:00PM ET,MIL,17.74,L,17.74,15
SF/PF,Tari Eason (27125890),Tari Eason,27125890,SF/PF/F/UTIL,4600,NOP@HOU 03/19/2023 07:00PM ET,HOU,21.13,L,21.13,15
SG/SF,Eric Gordon (27125878),Eric Gordon,27125878,SG/SF/F/G/UTIL,4600,LAC@POR 03/19/2023 09:00PM ET,LAC,21.42,L,21.42,15
C,Mason Plumlee (27125888),Mason Plumlee,27125888,C/UTIL,4600,LAC@POR 03/19/2023 09:00PM ET,LAC,30.61,L,33.671,16.5
PF/C,Wenyen Gabriel (27125894),Wenyen Gabriel,27125894,PF/C/F/UTIL,4500,ORL@LAL 03/19/2023 09:30PM ET,LAL,13.44,L,13.44,15
PG,Kyle Lowry (27125901),Kyle Lowry,27125901,PG/G/UTIL,4500,MIA@DET 03/19/2023 06:00PM ET,MIA,27.98,L,27.98,15
SF/PF,Caleb Martin (27125914),Caleb Martin,27125914,SF/PF/F/UTIL,4500,MIA@DET 03/19/2023 06:00PM ET,MIA,21.6,L,23.76,16.5
SG,Grayson Allen (27125898),Grayson Allen,27125898,SG/G/UTIL,4500,TOR@MIL 03/19/2023 08:00PM ET,MIL,20.91,L,20.91,15
SG/SF,Pat Connaughton (27125904),Pat Connaughton,27125904,SG/SF/F/G/UTIL,4400,TOR@MIL 03/19/2023 08:00PM ET,MIL,18.29,L,18.29,15
SG/SF,Cam Reddish (27125909),Cam Reddish,27125909,SG/SF/F/G/UTIL,4400,LAC@POR 03/19/2023 09:00PM ET,POR,18.14,L,18.14,15
SF,Hamidou Diallo (27125918),Hamidou Diallo,27125918,SF/F/UTIL,4300,MIA@DET 03/19/2023 06:00PM ET,DET,17,O,17,15
SG/SF,Norman Powell (27125921),Norman Powell,27125921,SG/SF/F/G/UTIL,4300,LAC@POR 03/19/2023 09:00PM ET,LAC,25.32,O,25.32,15
PG/SG,Gabe Vincent (27125933),Gabe Vincent,27125933,PG/SG/G/UTIL,4300,MIA@DET 03/19/2023 06:00PM ET,MIA,17.91,L,17.91,15
