Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Lamar Stevens (26681538),Lamar Stevens,26681538,SF/F/UTIL,3000,SAS@CLE 02/13/2023 07:00PM ET,CLE,11.23
PF/C,Mamadi Diakite (26681541),Mamadi Diakite,26681541,PF/C/F/UTIL,3000,SAS@CLE 02/13/2023 07:00PM ET,CLE,3.69
SF,Dominick Barlow (26681740),Dominick Barlow,26681740,SF/F/UTIL,3000,SAS@CLE 02/13/2023 07:00PM ET,SAS,7.44
C,Gorgui Dieng (26681743),Gorgui Dieng,26681743,C/UTIL,3000,SAS@CLE 02/13/2023 07:00PM ET,SAS,9.96
PG/SG,Blake Wesley (26681745),Blake Wesley,26681745,PG/SG/G/UTIL,3000,SAS@CLE 02/13/2023 07:00PM ET,SAS,7.86
C,Khem Birch (26681749),Khem Birch,26681749,C/UTIL,3000,SAS@CLE 02/13/2023 07:00PM ET,SAS,5.06
SF/PF,Yuta Watanabe (26681346),Yuta Watanabe,26681346,SF/PF/F/UTIL,3000,BKN@NYK 02/13/2023 07:30PM ET,BKN,13.26
PG/SG,Derrick Rose (26681563),Derrick Rose,26681563,PG/SG/G/UTIL,3000,BKN@NYK 02/13/2023 07:30PM ET,NYK,11.29
SF,Evan Fournier (26681567),Evan Fournier,26681567,SF/F/UTIL,3000,BKN@NYK 02/13/2023 07:30PM ET,NYK,13.94
PG/SG,Miles McBride (26681570),Miles McBride,26681570,PG/SG/G/UTIL,3000,BKN@NYK 02/13/2023 07:30PM ET,NYK,7.84
SF,DaQuan Jeffries (26681574),DaQuan Jeffries,26681574,SF/F/UTIL,3000,BKN@NYK 02/13/2023 07:30PM ET,NYK,0
SF,Trevor Keels (26681577),Trevor Keels,26681577,SF/F/UTIL,3000,BKN@NYK 02/13/2023 07:30PM ET,NYK,1.25
PF/C,Obi Toppin (26681580),Obi Toppin,26681580,PF/C/F/UTIL,3000,BKN@NYK 02/13/2023 07:30PM ET,NYK,12.94
PG/SG,Patty Mills (26681766),Patty Mills,26681766,PG/SG/G/UTIL,3000,BKN@NYK 02/13/2023 07:30PM ET,BKN,10.08
PG,Dru Smith (26681770),Dru Smith,26681770,PG/G/UTIL,3000,BKN@NYK 02/13/2023 07:30PM ET,BKN,10.04
PG,David Duke Jr. (26681773),David Duke Jr.,26681773,PG/G/UTIL,3000,BKN@NYK 02/13/2023 07:30PM ET,BKN,6.02
SG,Lindy Waters III (26681484),Lindy Waters III,26681484,SG/G/UTIL,3000,NOP@OKC 02/13/2023 08:00PM ET,OKC,8.92
PF,Ousmane Dieng (26681487),Ousmane Dieng,26681487,PF/F/UTIL,3000,NOP@OKC 02/13/2023 08:00PM ET,OKC,10.62
PF/C,Eugene Omoruyi (26681490),Eugene Omoruyi,26681490,PF/C/F/UTIL,3000,NOP@OKC 02/13/2023 08:00PM ET,OKC,9.56
C,Chet Holmgren (26681494),Chet Holmgren,26681494,C/UTIL,3000,NOP@OKC 02/13/2023 08:00PM ET,OKC,0
PF/C,Jaxson Hayes (26681703),Jaxson Hayes,26681703,PF/C/F/UTIL,3000,NOP@OKC 02/13/2023 08:00PM ET,NOP,11.44
PG/SF,Garrett Temple (26681707),Garrett Temple,26681707,PG/SF/F/G/UTIL,3000,NOP@OKC 02/13/2023 08:00PM ET,NOP,5.21
SF,Dereon Seabron (26681712),Dereon Seabron,26681712,SF/F/UTIL,3000,NOP@OKC 02/13/2023 08:00PM ET,NOP,1.31
PG/SG,Kira Lewis Jr. (26681715),Kira Lewis Jr.,26681715,PG/SG/G/UTIL,3000,NOP@OKC 02/13/2023 08:00PM ET,NOP,10.06
SG/SF,Josh Richardson (26681719),Josh Richardson,26681719,SG/SF/F/G/UTIL,3000,NOP@OKC 02/13/2023 08:00PM ET,NOP,22.48
PF,E.J. Liddell (26681724),E.J. Liddell,26681724,PF/F/UTIL,3000,NOP@OKC 02/13/2023 08:00PM ET,NOP,0
SF,Theo Pinson (26681309),Theo Pinson,26681309,SF/F/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,DAL,4.88
C,Luka Garza (26681315),Luka Garza,26681315,C/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,MIN,11.24
PG/SG,Nickeil Alexander-Walker (26681332),Nickeil Alexander-Walker,26681332,PG/SG/G/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,MIN,13.19
C,JaVale McGee (26681466),JaVale McGee,26681466,C/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,DAL,8.88
PF/C,Markieff Morris (26681468),Markieff Morris,26681468,PF/C/F/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,DAL,8.81
PG/SG,Frank Ntilikina (26681472),Frank Ntilikina,26681472,PG/SG/G/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,DAL,6.26
C,Chris Silva (26681476),Chris Silva,26681476,C/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,DAL,1.5
SG,AJ Lawson (26681478),AJ Lawson,26681478,SG/G/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,DAL,3.12
PF,Davis Bertans (26681481),Davis Bertans,26681481,PF/F/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,DAL,6.85
PG,Jordan McLaughlin (26681681),Jordan McLaughlin,26681681,PG/G/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,MIN,12.27
PG/SG,Austin Rivers (26681684),Austin Rivers,26681684,PG/SG/G/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,MIN,11.67
SG,Josh Minott (26681688),Josh Minott,26681688,SG/G/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,MIN,7.91
SG/SF,Wendell Moore Jr. (26681691),Wendell Moore Jr.,26681691,SG/SF/F/G/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,MIN,4.12
C,Nathan Knight (26681696),Nathan Knight,26681696,C/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,MIN,7.03
SG/SF,Matt Ryan (26681698),Matt Ryan,26681698,SG/SF/F/G/UTIL,3000,MIN@DAL 02/13/2023 08:30PM ET,MIN,6.26
PF,Rudy Gay (26681325),Rudy Gay,26681325,PF/F/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,UTA,11.28
PF,Serge Ibaka (26681395),Serge Ibaka,26681395,PF/F/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,IND,8.91
PG/SG,Trevelin Queen (26681398),Trevelin Queen,26681398,PG/SG/G/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,IND,8.96
PF/C,Oshae Brissett (26681402),Oshae Brissett,26681402,PF/C/F/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,IND,12.22
SF,Kendall Brown (26681406),Kendall Brown,26681406,SF/F/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,IND,4.67
PF/C,Jalen Smith (26681409),Jalen Smith,26681409,PF/C/F/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,IND,19.96
C,Daniel Theis (26681413),Daniel Theis,26681413,C/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,IND,11
PG,George Hill (26681415),George Hill,26681415,PG/G/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,IND,12.41
SF/PF,Jordan Nwora (26681418),Jordan Nwora,26681418,SF/PF/F/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,IND,12.45
SF/PF,Simone Fontecchio (26681611),Simone Fontecchio,26681611,SF/PF/F/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,UTA,6.34
PF,Juan Toscano-Anderson (26681615),Juan Toscano-Anderson,26681615,PF/F/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,UTA,7.41
