Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,WAvgPoints
C,Sandy Leon (27412927),Sandy Leon,27412927,C,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
OF,Elier Hernandez (27412946),Elier Hernandez,27412946,OF,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
3B/SS,Johan Camargo (27412967),Johan Camargo,27412967,3B/SS,2000,KC@TEX 04/10/2023 08:05PM ET,KC,0,0
1B,Yoshi Tsutsugo (27412971),Yoshi Tsutsugo,27412971,1B,2000,KC@TEX 04/10/2023 08:05PM ET,TEX,0,0
C,Luke Maile (27412565),Luke Maile,27412565,C,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
OF,Will Benson (27412571),Will Benson,27412571,OF,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0.83,0.83
OF,Eli White (27412583),Eli White,27412583,OF,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
2B/3B,Ehire Adrianza (27412585),Ehire Adrianza,27412585,2B/3B,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
SS,Cal Conley (27412686),Cal Conley,27412686,SS,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
2B/3B,Adeiny Hechavarria (27412688),Adeiny Hechavarria,27412688,2B/3B,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
OF,Forrest Wall (27412707),Forrest Wall,27412707,OF,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
3B,Christian Encarnacion-Strand (27412711),Christian Encarnacion-Strand,27412711,3B,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
3B,Hudson Potts (27412720),Hudson Potts,27412720,3B,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
OF,Jacob Pearson (27412726),Jacob Pearson,27412726,OF,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
SS,Matt McLain (27412731),Matt McLain,27412731,SS,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
OF,Henry Ramos (27412734),Henry Ramos,27412734,OF,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
OF,Nick Martini (27412752),Nick Martini,27412752,OF,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
2B/3B,Tyler Callihan (27412770),Tyler Callihan,27412770,2B/3B,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
OF,Allan Cerda (27412773),Allan Cerda,27412773,OF,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
3B,Nick Quintana (27412776),Nick Quintana,27412776,3B,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
C,Joe Hudson (27412792),Joe Hudson,27412792,C,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
OF,Austin Hendrick (27412810),Austin Hendrick,27412810,OF,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
SS,Noelvi Marte (27412813),Noelvi Marte,27412813,SS,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
SS,Braden Shewmake (27412814),Braden Shewmake,27412814,SS,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
1B,Joshua Fuentes (27412826),Joshua Fuentes,27412826,1B,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
SS,Edwin Arroyo (27412833),Edwin Arroyo,27412833,SS,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
SS,Elly De La Cruz (27412844),Elly De La Cruz,27412844,SS,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
1B,Greyson Jenista (27412856),Greyson Jenista,27412856,1B,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
