Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
SG/SF,Svi Mykhailiuk (27102299),Svi Mykhailiuk,27102299,SG/SF/F/G/UTIL,3000,PHI@CHA 03/17/2023 07:00PM ET,CHA,4.57,B,4.57
PG,Theo Maledon (27102304),Theo Maledon,27102304,PG/G/UTIL,3000,PHI@CHA 03/17/2023 07:00PM ET,CHA,13.76,B,13.76
PG,James Bouknight (27102307),James Bouknight,27102307,PG/G/UTIL,3000,PHI@CHA 03/17/2023 07:00PM ET,CHA,9.59,B,9.59
PG,LaMelo Ball (27102310),LaMelo Ball,27102310,PG/G/UTIL,3000,PHI@CHA 03/17/2023 07:00PM ET,CHA,48.3,B,48.3
SG/SF,Cody Martin (27102313),Cody Martin,27102313,SG/SF/F/G/UTIL,3000,PHI@CHA 03/17/2023 07:00PM ET,CHA,13.14,O,13.14
PF/C,Derrick Jones Jr. (27102336),Derrick Jones Jr.,27102336,PF/C/F/UTIL,3000,MIN@CHI 03/17/2023 08:00PM ET,CHI,10.85,B,10.85
PG,Carlik Jones (27102340),Carlik Jones,27102340,PG/G/UTIL,3000,MIN@CHI 03/17/2023 08:00PM ET,CHI,4.62,B,4.62
PF/C,Terry Taylor (27102343),Terry Taylor,27102343,PF/C/F/UTIL,3000,MIN@CHI 03/17/2023 08:00PM ET,CHI,5.37,B,5.37
SF,Dalen Terry (27102347),Dalen Terry,27102347,SF/F/UTIL,3000,MIN@CHI 03/17/2023 08:00PM ET,CHI,4.03,B,4.03
PF/C,Marko Simonovic (27102350),Marko Simonovic,27102350,PF/C/F/UTIL,3000,MIN@CHI 03/17/2023 08:00PM ET,CHI,0,B,0
SF/PF,Javonte Green (27102354),Javonte Green,27102354,SF/PF/F/UTIL,3000,MIN@CHI 03/17/2023 08:00PM ET,CHI,13.62,B,13.62
PG,Lonzo Ball (27102358),Lonzo Ball,27102358,PG/G/UTIL,3000,MIN@CHI 03/17/2023 08:00PM ET,CHI,0,B,0
PF,Justin Lewis (27102361),Justin Lewis,27102361,PF/F/UTIL,3000,MIN@CHI 03/17/2023 08:00PM ET,CHI,0,B,0
PG,Raul Neto (27102230),Raul Neto,27102230,PG/G/UTIL,3000,WAS@CLE 03/17/2023 07:30PM ET,CLE,7.01,B,7.01
PF/C,Dean Wade (27102233),Dean Wade,27102233,PF/C/F/UTIL,3000,WAS@CLE 03/17/2023 07:30PM ET,CLE,12.72,B,12.72
SF,Dylan Windler (27102237),Dylan Windler,27102237,SF/F/UTIL,3000,WAS@CLE 03/17/2023 07:30PM ET,CLE,5,B,5
SG/SF,Danny Green (27102240),Danny Green,27102240,SG/SF/F/G/UTIL,3000,WAS@CLE 03/17/2023 07:30PM ET,CLE,5.72,B,5.72
SG,Sam Merrill (27102245),Sam Merrill,27102245,SG/G/UTIL,3000,WAS@CLE 03/17/2023 07:30PM ET,CLE,1,B,1
PF/C,Isaiah Mobley (27102248),Isaiah Mobley,27102248,PF/C/F/UTIL,3000,WAS@CLE 03/17/2023 07:30PM ET,CLE,3.39,B,3.39
PF/C,Mamadi Diakite (27102252),Mamadi Diakite,27102252,PF/C/F/UTIL,3000,WAS@CLE 03/17/2023 07:30PM ET,CLE,3.66,B,3.66
PG/SG,Frank Ntilikina (27102439),Frank Ntilikina,27102439,PG/SG/G/UTIL,3000,DAL@LAL 03/17/2023 10:30PM ET,DAL,6.03,B,6.03
SG/SF,Justin Holiday (27102443),Justin Holiday,27102443,SG/SF/F/G/UTIL,3000,DAL@LAL 03/17/2023 10:30PM ET,DAL,9.2,B,9.2
SF,Theo Pinson (27102448),Theo Pinson,27102448,SF/F/UTIL,3000,DAL@LAL 03/17/2023 10:30PM ET,DAL,4.81,B,4.81
PF,Davis Bertans (27102451),Davis Bertans,27102451,PF/F/UTIL,3000,DAL@LAL 03/17/2023 10:30PM ET,DAL,7.46,B,7.46
C,JaVale McGee (27102454),JaVale McGee,27102454,C/UTIL,3000,DAL@LAL 03/17/2023 10:30PM ET,DAL,8.6,B,8.6
SG,AJ Lawson (27102456),AJ Lawson,27102456,SG/G/UTIL,3000,DAL@LAL 03/17/2023 10:30PM ET,DAL,4.08,B,4.08
PF/C,Markieff Morris (27102459),Markieff Morris,27102459,PF/C/F/UTIL,3000,DAL@LAL 03/17/2023 10:30PM ET,DAL,7.95,B,7.95
SG/SF,Moses Moody (27102416),Moses Moody,27102416,SG/SF/F/G/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,GSW,8.71,B,8.71
PF,Anthony Lamb (27102421),Anthony Lamb,27102421,PF/F/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,GSW,15.66,B,15.66
PF,Patrick Baldwin Jr. (27102424),Patrick Baldwin Jr.,27102424,PF/F/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,GSW,7.93,B,7.93
SF,Andre Iguodala (27102427),Andre Iguodala,27102427,SF/F/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,GSW,9.59,O,9.59
PG,Ty Jerome (27102430),Ty Jerome,27102430,PG/G/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,GSW,15.17,O,15.17
PG,Gary Payton II (27102433),Gary Payton II,27102433,PG/G/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,GSW,11.68,O,11.68
PG,Ryan Rollins (27102436),Ryan Rollins,27102436,PG/G/UTIL,3000,GSW@ATL 03/17/2023 07:30PM ET,GSW,3.71,O,3.71
C,Boban Marjanovic (27102318),Boban Marjanovic,27102318,C/UTIL,3000,NOP@HOU 03/17/2023 08:00PM ET,HOU,6.03,B,6.03
PF/C,Frank Kaminsky III (27102320),Frank Kaminsky III,27102320,PF/C/F/UTIL,3000,NOP@HOU 03/17/2023 08:00PM ET,HOU,6.18,B,6.18
PF,Darius Days (27102324),Darius Days,27102324,PF/F/UTIL,3000,NOP@HOU 03/17/2023 08:00PM ET,HOU,6.88,B,6.88
PG,Trevor Hudgins (27102327),Trevor Hudgins,27102327,PG/G/UTIL,3000,NOP@HOU 03/17/2023 08:00PM ET,HOU,2.8,B,2.8
SG,Daishen Nix (27102330),Daishen Nix,27102330,SG/G/UTIL,3000,NOP@HOU 03/17/2023 08:00PM ET,HOU,11.59,B,11.59
PG,TyTy Washington Jr. (27102333),TyTy Washington Jr.,27102333,PG/G/UTIL,3000,NOP@HOU 03/17/2023 08:00PM ET,HOU,9.72,B,9.72
SG,Max Christie (27102283),Max Christie,27102283,SG/G/UTIL,3000,DAL@LAL 03/17/2023 10:30PM ET,LAL,7.57,B,7.57
PF,Cole Swider (27102286),Cole Swider,27102286,PF/F/UTIL,3000,DAL@LAL 03/17/2023 10:30PM ET,LAL,4.21,B,4.21
SG/SF,Davon Reed (27102289),Davon Reed,27102289,SG/SF/F/G/UTIL,3000,DAL@LAL 03/17/2023 10:30PM ET,LAL,5.64,B,5.64
PG,Scotty Pippen Jr. (27102294),Scotty Pippen Jr.,27102294,PG/G/UTIL,3000,DAL@LAL 03/17/2023 10:30PM ET,LAL,4.58,B,4.58
C,Mo Bamba (27102297),Mo Bamba,27102297,C/UTIL,3000,DAL@LAL 03/17/2023 10:30PM ET,LAL,16.77,O,16.77
C,Kenneth Lofton Jr. (27102364),Kenneth Lofton Jr.,27102364,C/UTIL,3000,MEM@SAS 03/17/2023 08:00PM ET,MEM,4.62,B,4.62
SG/SF,Ziaire Williams (27102366),Ziaire Williams,27102366,SG/SF/F/G/UTIL,3000,MEM@SAS 03/17/2023 08:00PM ET,MEM,9.72,B,9.72
PG,Kennedy Chandler (27102371),Kennedy Chandler,27102371,PG/G/UTIL,3000,MEM@SAS 03/17/2023 08:00PM ET,MEM,6.87,B,6.87
C,Brandon Clarke (27102374),Brandon Clarke,27102374,C/UTIL,3000,MEM@SAS 03/17/2023 08:00PM ET,MEM,21.03,B,21.03
PF,Jake LaRavia (27102376),Jake LaRavia,27102376,PF/F/UTIL,3000,MEM@SAS 03/17/2023 08:00PM ET,MEM,7.48,B,7.48
SG,Vince Williams Jr. (27102379),Vince Williams Jr.,27102379,SG/G/UTIL,3000,MEM@SAS 03/17/2023 08:00PM ET,MEM,3.07,O,3.07
SG,Josh Minott (27102498),Josh Minott,27102498,SG/G/UTIL,3000,MIN@CHI 03/17/2023 08:00PM ET,MIN,7.12,B,7.12
SG/SF,Wendell Moore Jr. (27102501),Wendell Moore Jr.,27102501,SG/SF/F/G/UTIL,3000,MIN@CHI 03/17/2023 08:00PM ET,MIN,4.08,B,4.08
C,Nathan Knight (27102506),Nathan Knight,27102506,C/UTIL,3000,MIN@CHI 03/17/2023 08:00PM ET,MIN,6.86,B,6.86
SG/SF,Matt Ryan (27102508),Matt Ryan,27102508,SG/SF/F/G/UTIL,3000,MIN@CHI 03/17/2023 08:00PM ET,MIN,6.26,B,6.26
PG/SG,Austin Rivers (27102513),Austin Rivers,27102513,PG/SG/G/UTIL,3000,MIN@CHI 03/17/2023 08:00PM ET,MIN,10.85,B,10.85
PG/SG,Garrett Temple (27102484),Garrett Temple,27102484,PG/SG/G/UTIL,3000,NOP@HOU 03/17/2023 08:00PM ET,NOP,4.95,B,4.95
SF,Dereon Seabron (27102488),Dereon Seabron,27102488,SF/F/UTIL,3000,NOP@HOU 03/17/2023 08:00PM ET,NOP,1.05,B,1.05
PG/SG,Kira Lewis Jr. (27102491),Kira Lewis Jr.,27102491,PG/SG/G/UTIL,3000,NOP@HOU 03/17/2023 08:00PM ET,NOP,9.32,B,9.32
PF,E.J. Liddell (27102495),E.J. Liddell,27102495,PF/F/UTIL,3000,NOP@HOU 03/17/2023 08:00PM ET,NOP,0,O,0
SF,Danuel House Jr. (27102463),Danuel House Jr.,27102463,SF/F/UTIL,3000,PHI@CHA 03/17/2023 07:00PM ET,PHI,8.29,B,8.29
