Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints,EWAvgPoints,
C,Thomas Bryant (27210322),Thomas Bryant,27210322,C/UTIL,3000,PHI@DEN 03/27/2023 09:30PM ET,DEN,19.55,B,19.55,11,
SF/PF,Vlatko Cancar (27210324),Vlatko Cancar,27210324,SF/PF/F/UTIL,3000,PHI@DEN 03/27/2023 09:30PM ET,DEN,11.28,B,11.28,11,
SG,Peyton Watson (27210328),Peyton Watson,27210328,SG/G/UTIL,3000,PHI@DEN 03/27/2023 09:30PM ET,DEN,2.88,B,2.88,11,
PF,Jack White (27210331),Jack White,27210331,PF/F/UTIL,3000,PHI@DEN 03/27/2023 09:30PM ET,DEN,2.73,B,2.73,11,
PG,Collin Gillespie (27210334),Collin Gillespie,27210334,PG/G/UTIL,3000,PHI@DEN 03/27/2023 09:30PM ET,DEN,0,O,0,11,
SF/PF,Jared Rhoden (27210408),Jared Rhoden,27210408,SF/PF/F/UTIL,3000,MIL@DET 03/27/2023 07:00PM ET,DET,5.25,B,5.25,10,
SF,Buddy Boeheim (27210412),Buddy Boeheim,27210412,SF/F/UTIL,3000,MIL@DET 03/27/2023 07:00PM ET,DET,4.21,B,4.21,10,
PG,Cade Cunningham (27210415),Cade Cunningham,27210415,PG/G/UTIL,3000,MIL@DET 03/27/2023 07:00PM ET,DET,38.92,O,38.92,10,
PG,D.J. Augustin (27210472),D.J. Augustin,27210472,PG/G/UTIL,3000,HOU@NYK 03/27/2023 07:30PM ET,HOU,0,B,0,11,
C,Boban Marjanovic (27210475),Boban Marjanovic,27210475,C/UTIL,3000,HOU@NYK 03/27/2023 07:30PM ET,HOU,6.05,B,6.05,11,
PF,Darius Days (27210477),Darius Days,27210477,PF/F/UTIL,3000,HOU@NYK 03/27/2023 07:30PM ET,HOU,6.88,B,6.88,11,
PG,Trevor Hudgins (27210480),Trevor Hudgins,27210480,PG/G/UTIL,3000,HOU@NYK 03/27/2023 07:30PM ET,HOU,2.8,B,2.8,11,
PG,TyTy Washington Jr. (27210483),TyTy Washington Jr.,27210483,PG/G/UTIL,3000,HOU@NYK 03/27/2023 07:30PM ET,HOU,9.72,B,9.72,11,
PF/C,Frank Kaminsky III (27210486),Frank Kaminsky III,27210486,PF/C/F/UTIL,3000,HOU@NYK 03/27/2023 07:30PM ET,HOU,5.99,B,5.99,11,
PG/SG,George Hill (27210310),George Hill,27210310,PG/SG/G/UTIL,3000,DAL@IND 03/27/2023 07:00PM ET,IND,12.23,B,12.23,10,
PF/C,James Johnson (27210418),James Johnson,27210418,PF/C/F/UTIL,3000,DAL@IND 03/27/2023 07:00PM ET,IND,6.93,B,6.93,10,
C,Daniel Theis (27210422),Daniel Theis,27210422,C/UTIL,3000,DAL@IND 03/27/2023 07:00PM ET,IND,15.07,B,15.07,10,
PG,Trevelin Queen (27210424),Trevelin Queen,27210424,PG/G/UTIL,3000,DAL@IND 03/27/2023 07:00PM ET,IND,8.96,B,8.96,10,
SF,Kendall Brown (27210427),Kendall Brown,27210427,SF/F/UTIL,3000,DAL@IND 03/27/2023 07:00PM ET,IND,4.67,B,4.67,10,
PG,Xavier Moon (27210390),Xavier Moon,27210390,PG/G/UTIL,3000,CHI@LAC 03/27/2023 10:30PM ET,LAC,4.25,B,4.25,11,
SF/PF,Amir Coffey (27210393),Amir Coffey,27210393,SF/PF/F/UTIL,3000,CHI@LAC 03/27/2023 10:30PM ET,LAC,6.9,B,6.9,11,
PG,Jason Preston (27210397),Jason Preston,27210397,PG/G/UTIL,3000,CHI@LAC 03/27/2023 10:30PM ET,LAC,8.5,B,8.5,11,
PF/C,Moussa Diabate (27210400),Moussa Diabate,27210400,PF/C/F/UTIL,3000,CHI@LAC 03/27/2023 10:30PM ET,LAC,7.14,B,7.14,11,
PG/SG,Brandon Boston Jr. (27210404),Brandon Boston Jr.,27210404,PG/SG/G/UTIL,3000,CHI@LAC 03/27/2023 10:30PM ET,LAC,10.75,O,10.75,11,
PF,Thanasis Antetokounmpo (27210531),Thanasis Antetokounmpo,27210531,PF/F/UTIL,3000,MIL@DET 03/27/2023 07:00PM ET,MIL,2.61,B,2.61,10,
PG,AJ Green (27210534),AJ Green,27210534,PG/G/UTIL,3000,MIL@DET 03/27/2023 07:00PM ET,MIL,7.56,B,7.56,10,
SF,Marjon Beauchamp (27210537),Marjon Beauchamp,27210537,SF/F/UTIL,3000,MIL@DET 03/27/2023 07:00PM ET,MIL,9.83,B,9.83,10,
PG,Lindell Wigginton (27210540),Lindell Wigginton,27210540,PG/G/UTIL,3000,MIL@DET 03/27/2023 07:00PM ET,MIL,2.44,B,2.44,10,
C,Meyers Leonard (27210543),Meyers Leonard,27210543,C/UTIL,3000,MIL@DET 03/27/2023 07:00PM ET,MIL,7.29,O,7.29,10,
PG,Goran Dragic (27210545),Goran Dragic,27210545,PG/G/UTIL,3000,MIL@DET 03/27/2023 07:00PM ET,MIL,12.65,B,12.65,10,
PG,Jordan McLaughlin (27210314),Jordan McLaughlin,27210314,PG/G/UTIL,3000,MIN@SAC 03/27/2023 10:00PM ET,MIN,12.23,B,12.23,10,
PG/SG,Austin Rivers (27210490),Austin Rivers,27210490,PG/SG/G/UTIL,3000,MIN@SAC 03/27/2023 10:00PM ET,MIN,10.49,B,10.49,10,
SF,Josh Minott (27210494),Josh Minott,27210494,SF/F/UTIL,3000,MIN@SAC 03/27/2023 10:00PM ET,MIN,7.45,B,7.45,10,
SG/SF,Wendell Moore Jr. (27210497),Wendell Moore Jr.,27210497,SG/SF/F/G/UTIL,3000,MIN@SAC 03/27/2023 10:00PM ET,MIN,4.12,B,4.12,10,
C,Nathan Knight (27210502),Nathan Knight,27210502,C/UTIL,3000,MIN@SAC 03/27/2023 10:00PM ET,MIN,6.82,B,6.82,10,
SG/SF,Matt Ryan (27210504),Matt Ryan,27210504,SG/SF/F/G/UTIL,3000,MIN@SAC 03/27/2023 10:00PM ET,MIN,6.11,O,6.11,10,
C,Luka Garza (27210509),Luka Garza,27210509,C/UTIL,3000,MIN@SAC 03/27/2023 10:00PM ET,MIN,11.14,B,11.14,10,
PF/C,Jaxson Hayes (27210442),Jaxson Hayes,27210442,PF/C/F/UTIL,3000,NOP@POR 03/27/2023 10:00PM ET,NOP,11.28,B,11.28,10,
PG/SG,Garrett Temple (27210446),Garrett Temple,27210446,PG/SG/G/UTIL,3000,NOP@POR 03/27/2023 10:00PM ET,NOP,4.5,B,4.5,10,
C,Guillermo Hernangomez (27210450),Guillermo Hernangomez,27210450,C/UTIL,3000,NOP@POR 03/27/2023 10:00PM ET,NOP,15.9,B,15.9,10,
SF,Dereon Seabron (27210452),Dereon Seabron,27210452,SF/F/UTIL,3000,NOP@POR 03/27/2023 10:00PM ET,NOP,1.05,B,1.05,10,
PG/SG,Kira Lewis Jr. (27210455),Kira Lewis Jr.,27210455,PG/SG/G/UTIL,3000,NOP@POR 03/27/2023 10:00PM ET,NOP,8.73,B,8.73,10,
PF,E.J. Liddell (27210459),E.J. Liddell,27210459,PF/F/UTIL,3000,NOP@POR 03/27/2023 10:00PM ET,NOP,0,O,0,10,
PG,Duane Washington Jr. (27210307),Duane Washington Jr.,27210307,PG/G/UTIL,3000,HOU@NYK 03/27/2023 07:30PM ET,NYK,13.11,B,13.11,10,
PG/SG,Derrick Rose (27210348),Derrick Rose,27210348,PG/SG/G/UTIL,3000,HOU@NYK 03/27/2023 07:30PM ET,NYK,10.87,B,10.87,10,
SF,Evan Fournier (27210352),Evan Fournier,27210352,SF/F/UTIL,3000,HOU@NYK 03/27/2023 07:30PM ET,NYK,13.34,B,13.34,10,
PG/SG,Miles McBride (27210355),Miles McBride,27210355,PG/SG/G/UTIL,3000,HOU@NYK 03/27/2023 07:30PM ET,NYK,7.67,B,7.67,10,
PF/C,Jericho Sims (27210359),Jericho Sims,27210359,PF/C/F/UTIL,3000,HOU@NYK 03/27/2023 07:30PM ET,NYK,11.71,B,11.71,10,
PF/C,Obi Toppin (27210363),Obi Toppin,27210363,PF/C/F/UTIL,3000,HOU@NYK 03/27/2023 07:30PM ET,NYK,11.87,B,11.87,10,
SF,DaQuan Jeffries (27210367),DaQuan Jeffries,27210367,SF/F/UTIL,3000,HOU@NYK 03/27/2023 07:30PM ET,NYK,0,B,0,10,
SF,Trevor Keels (27210370),Trevor Keels,27210370,SF/F/UTIL,3000,HOU@NYK 03/27/2023 07:30PM ET,NYK,3,B,3,10,
SG,Furkan Korkmaz (27210430),Furkan Korkmaz,27210430,SG/G/UTIL,3000,PHI@DEN 03/27/2023 09:30PM ET,PHI,6.06,B,6.06,10,
PF,Louis King (27210433),Louis King,27210433,PF/F/UTIL,3000,PHI@DEN 03/27/2023 09:30PM ET,PHI,0,B,0,10,
PG,Mac McClung (27210436),Mac McClung,27210436,PG/G/UTIL,3000,PHI@DEN 03/27/2023 09:30PM ET,PHI,0,B,0,10,
SG,Jaden Springer (27210439),Jaden Springer,27210439,SG/G/UTIL,3000,PHI@DEN 03/27/2023 09:30PM ET,PHI,4.23,B,4.23,10,
SG,Damion Lee (27210462),Damion Lee,27210462,SG/G/UTIL,3000,PHX@UTA 03/27/2023 09:00PM ET,PHX,15.56,B,15.56,10,
PF/C,Darius Bazley (27210465),Darius Bazley,27210465,PF/C/F/UTIL,3000,PHX@UTA 03/27/2023 09:00PM ET,PHX,12.66,B,12.66,10,
PG,Saben Lee (27210469),Saben Lee,27210469,PG/G/UTIL,3000,PHX@UTA 03/27/2023 09:00PM ET,PHX,12.26,B,12.26,10,
C,John Butler (27210337),John Butler,27210337,C/UTIL,3000,NOP@POR 03/27/2023 10:00PM ET,POR,1.57,B,1.57,12,
C,Ibou Badji (27210339),Ibou Badji,27210339,C/UTIL,3000,NOP@POR 03/27/2023 10:00PM ET,POR,0,O,0,12,
SF,Justise Winslow (27210341),Justise Winslow,27210341,SF/F/UTIL,3000,NOP@POR 03/27/2023 10:00PM ET,POR,20.46,O,20.46,12,
SG/SF,PJ Dozier (27210373),PJ Dozier,27210373,SG/SF/F/G/UTIL,3000,MIN@SAC 03/27/2023 10:00PM ET,SAC,2.2,B,2.2,10,
C,Alex Len (27210378),Alex Len,27210378,C/UTIL,3000,MIN@SAC 03/27/2023 10:00PM ET,SAC,2.15,B,2.15,10,
C,Richaun Holmes (27210380),Richaun Holmes,27210380,C/UTIL,3000,MIN@SAC 03/27/2023 10:00PM ET,SAC,6.5,B,6.5,10,
PG/SG,Keon Ellis (27210382),Keon Ellis,27210382,PG/SG/G/UTIL,3000,MIN@SAC 03/27/2023 10:00PM ET,SAC,3.73,B,3.73,10,
C,Neemias Queta (27210386),Neemias Queta,27210386,C/UTIL,3000,MIN@SAC 03/27/2023 10:00PM ET,SAC,6.56,B,6.56,10,
C,Chimezie Metu (27210388),Chimezie Metu,27210388,C/UTIL,3000,MIN@SAC 03/27/2023 10:00PM ET,SAC,10.8,B,10.8,10,
C,Damian Jones (27210344),Damian Jones,27210344,C/UTIL,3000,PHX@UTA 03/27/2023 09:00PM ET,UTA,7.96,B,7.96,11,
C,Micah Potter (27210346),Micah Potter,27210346,C/UTIL,3000,PHX@UTA 03/27/2023 09:00PM ET,UTA,4.94,B,4.94,11,
