Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
SF,Evan Fournier (26785772),Evan Fournier,26785772,SF/F/UTIL,3000,NOP@NYK 02/25/2023 07:30PM ET,NYK,13.34,Q
SF/PF,Caleb Houstan (26785746),Caleb Houstan,26785746,SF/PF/F/UTIL,3000,IND@ORL 02/25/2023 07:00PM ET,ORL,8.72,P
PF,Admiral Schofield (26785750),Admiral Schofield,26785750,PF/F/UTIL,3000,IND@ORL 02/25/2023 07:00PM ET,ORL,9.13,P
SG,Kevon Harris (26785753),Kevon Harris,26785753,SG/G/UTIL,3000,IND@ORL 02/25/2023 07:00PM ET,ORL,7.81,P
C,Goga Bitadze (26785756),Goga Bitadze,26785756,C/UTIL,3000,IND@ORL 02/25/2023 07:00PM ET,ORL,9.18,P
C,Dewayne Dedmon (26785726),Dewayne Dedmon,26785726,C/UTIL,3000,BOS@PHI 02/25/2023 08:30PM ET,PHI,12.31,O
SF,Danuel House Jr. (26785702),Danuel House Jr.,26785702,SF/F/UTIL,3000,BOS@PHI 02/25/2023 08:30PM ET,PHI,8.51,P
PF,Georges Niang (26785705),Georges Niang,26785705,PF/F/UTIL,3000,BOS@PHI 02/25/2023 08:30PM ET,PHI,15.43,P
PG/SG,Shake Milton (26785708),Shake Milton,26785708,PG/SG/G/UTIL,3000,BOS@PHI 02/25/2023 08:30PM ET,PHI,17.6,P
SG,Furkan Korkmaz (26785712),Furkan Korkmaz,26785712,SG/G/UTIL,3000,BOS@PHI 02/25/2023 08:30PM ET,PHI,6.99,P
PF,Louis King (26785715),Louis King,26785715,PF/F/UTIL,3000,BOS@PHI 02/25/2023 08:30PM ET,PHI,0,P
PG,Mac McClung (26785718),Mac McClung,26785718,PG/G/UTIL,3000,BOS@PHI 02/25/2023 08:30PM ET,PHI,0,P
C,Paul Reed (26785721),Paul Reed,26785721,C/UTIL,3000,BOS@PHI 02/25/2023 08:30PM ET,PHI,9.84,P
SG,Jaden Springer (26785723),Jaden Springer,26785723,SG/G/UTIL,3000,BOS@PHI 02/25/2023 08:30PM ET,PHI,4.96,P
PF/C,Isaiah Roby (26785899),Isaiah Roby,26785899,PF/C/F/UTIL,3000,SAS@UTA 02/25/2023 09:00PM ET,SAS,9.66,O
C,Khem Birch (26785903),Khem Birch,26785903,C/UTIL,3000,SAS@UTA 02/25/2023 09:00PM ET,SAS,5.06,O
SF/PF,Dominick Barlow (26785888),Dominick Barlow,26785888,SF/PF/F/UTIL,3000,SAS@UTA 02/25/2023 09:00PM ET,SAS,7.96,P
C,Gorgui Dieng (26785892),Gorgui Dieng,26785892,C/UTIL,3000,SAS@UTA 02/25/2023 09:00PM ET,SAS,9.6,P
SG/SF,Julian Champagnie (26785894),Julian Champagnie,26785894,SG/SF/F/G/UTIL,3000,SAS@UTA 02/25/2023 09:00PM ET,SAS,1,P
C,Micah Potter (26785790),Micah Potter,26785790,C/UTIL,3000,SAS@UTA 02/25/2023 09:00PM ET,UTA,3.58,O
PF,Juan Toscano-Anderson (26785775),Juan Toscano-Anderson,26785775,PF/F/UTIL,3000,SAS@UTA 02/25/2023 09:00PM ET,UTA,7.86,P
C,Damian Jones (26785778),Damian Jones,26785778,C/UTIL,3000,SAS@UTA 02/25/2023 09:00PM ET,UTA,7.4,P
SG/SF,Johnny Juzang (26785780),Johnny Juzang,26785780,SG/SF/F/G/UTIL,3000,SAS@UTA 02/25/2023 09:00PM ET,UTA,0,P
C,Udoka Azubuike (26785785),Udoka Azubuike,26785785,C/UTIL,3000,SAS@UTA 02/25/2023 09:00PM ET,UTA,5.35,P
PF,Rudy Gay (26785787),Rudy Gay,26785787,PF/F/UTIL,3000,SAS@UTA 02/25/2023 09:00PM ET,UTA,10.95,Q
