Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
PG,Mac McClung (26728363),Mac McClung,26728363,PG/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,0,P
SG,Jaden Springer (26728366),Jaden Springer,26728366,SG/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,4.96,P
SG,Furkan Korkmaz (26728369),Furkan Korkmaz,26728369,SG/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,6.99,P
SG/SF,Luke Kennard (26728531),Luke Kennard,26728531,SG/SF/F/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,MEM,13.96,P
PF/C,Kenneth Lofton Jr. (26728536),Kenneth Lofton Jr.,26728536,PF/C/F/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,MEM,3.53,P
PG,Kennedy Chandler (26728540),Kennedy Chandler,26728540,PG/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,MEM,7.85,P
SG/SF,David Roddy (26728543),David Roddy,26728543,SG/SF/F/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,MEM,12.12,P
SG,Vince Williams Jr. (26728548),Vince Williams Jr.,26728548,SG/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,MEM,3.36,P
PF,Jake LaRavia (26728551),Jake LaRavia,26728551,PF/F/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,MEM,7.82,P
SG/SF,Ziaire Williams (26728554),Ziaire Williams,26728554,SG/SF/F/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,MEM,11.38,P
PF/C,Wenyen Gabriel (26728187),Wenyen Gabriel,26728187,PF/C/F/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,LAL,13.39,P
SG,Max Christie (26728191),Max Christie,26728191,SG/G/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,LAL,8.1,P
PF,Cole Swider (26728194),Cole Swider,26728194,PF/F/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,LAL,4.21,P
SG/SF,Davon Reed (26728197),Davon Reed,26728197,SG/SF/F/G/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,LAL,5.94,P
PG,Scotty Pippen Jr. (26728202),Scotty Pippen Jr.,26728202,PG/G/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,LAL,4.58,Q
SG,Moses Moody (26728403),Moses Moody,26728403,SG/G/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,GSW,9.37,P
PF,Anthony Lamb (26728406),Anthony Lamb,26728406,PF/F/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,GSW,15.52,P
