Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
G,Ilya Sorokin (26775180),Ilya Sorokin,26775180,G,7700,LA@NYI 02/24/2023 07:30PM ET,NYI,15.63,P
G,Semyon Varlamov (26775181),Semyon Varlamov,26775181,G,7700,LA@NYI 02/24/2023 07:30PM ET,NYI,14.54,O
G,David Rittich (26775182),David Rittich,26775182,G,7700,COL@WPG 02/24/2023 08:00PM ET,WPG,12.29,O
G,Filip Gustavsson (26775183),Filip Gustavsson,26775183,G,7600,MIN@TOR 02/24/2023 07:00PM ET,MIN,15.5,P
G,Marc-Andre Fleury (26775184),Marc-Andre Fleury,26775184,G,7600,MIN@TOR 02/24/2023 07:00PM ET,MIN,12.3,O
RW,Mikko Rantanen (26774641),Mikko Rantanen,26774641,W/UTIL,7600,COL@WPG 02/24/2023 08:00PM ET,COL,16.20,P
G,Carter Hart (26775185),Carter Hart,26775185,G,7500,MON@PHI 02/24/2023 07:00PM ET,PHI,12.85,P
G,Samuel Ersson (26775186),Samuel Ersson,26775186,G,7500,MON@PHI 02/24/2023 07:00PM ET,PHI,13,O
LW,Brady Tkachuk (26774643),Brady Tkachuk,26774643,W/UTIL,7500,OTT@CAR 02/24/2023 07:00PM ET,OTT,14.78,P
LW,Kirill Kaprizov (26774645),Kirill Kaprizov,26774645,W/UTIL,7400,MIN@TOR 02/24/2023 07:00PM ET,MIN,15.69,P
G,Ukko-Pekka Luukkonen (26775187),Ukko-Pekka Luukkonen,26775187,G,7400,BUF@FLA 02/24/2023 07:00PM ET,BUF,12.4,P
G,Craig Anderson (26775188),Craig Anderson,26775188,G,7400,BUF@FLA 02/24/2023 07:00PM ET,BUF,14.70,P
LW,Nikolaj Ehlers (26774647),Nikolaj Ehlers,26774647,W/UTIL,7300,COL@WPG 02/24/2023 08:00PM ET,WPG,11.96,P
RW,William Nylander (26774649),William Nylander,26774649,W/UTIL,7200,MIN@TOR 02/24/2023 07:00PM ET,TOR,14.75,P
RW,Alex Tuch (26774651),Alex Tuch,26774651,W/UTIL,7100,BUF@FLA 02/24/2023 07:00PM ET,BUF,12.82,P
